Line 244: depth 1 (1 opens, 0 closes)
Line 245: depth 2 (1 opens, 0 closes)
Line 249: depth 3 (1 opens, 0 closes)
Line 250: depth 4 (1 opens, 0 closes)
Line 254: depth 3 (0 opens, 1 closes)
Line 256: depth 4 (1 opens, 0 closes)
Line 258: depth 3 (0 opens, 1 closes)
Line 260: depth 2 (0 opens, 1 closes)
Line 264: depth 3 (1 opens, 0 closes)
Line 265: depth 4 (1 opens, 0 closes)
Line 274: depth 3 (0 opens, 1 closes)
Line 276: depth 4 (1 opens, 0 closes)
Line 277: depth 5 (1 opens, 0 closes)
Line 279: depth 4 (0 opens, 1 closes)
Line 281: depth 5 (1 opens, 0 closes)
Line 282: depth 6 (1 opens, 0 closes)
Line 284: depth 5 (0 opens, 1 closes)
Line 286: depth 4 (0 opens, 1 closes)
Line 289: depth 3 (0 opens, 1 closes)
Line 294: depth 4 (1 opens, 0 closes)
Line 312: depth 3 (0 opens, 1 closes)
Line 313: depth 2 (0 opens, 1 closes)
Line 317: depth 3 (1 opens, 0 closes)
Line 318: depth 4 (1 opens, 0 closes)
Line 319: depth 5 (1 opens, 0 closes)
Line 321: depth 4 (0 opens, 1 closes)
Line 323: depth 3 (0 opens, 1 closes)
Line 325: depth 2 (0 opens, 1 closes)
Line 327: depth 3 (1 opens, 0 closes)
Line 329: depth 4 (1 opens, 0 closes)
Line 346: depth 3 (0 opens, 1 closes)
Line 349: depth 4 (1 opens, 0 closes)
Line 350: depth 5 (1 opens, 0 closes)
Line 352: depth 6 (1 opens, 0 closes)
Line 363: depth 5 (0 opens, 1 closes)
Line 366: depth 6 (1 opens, 0 closes)
Line 377: depth 5 (0 opens, 1 closes)
Line 381: depth 6 (1 opens, 0 closes)
Line 389: depth 5 (0 opens, 1 closes)
Line 391: depth 4 (0 opens, 1 closes)
Line 393: depth 5 (1 opens, 0 closes)
Line 394: depth 6 (1 opens, 0 closes)
Line 397: depth 5 (0 opens, 1 closes)
Line 398: depth 6 (1 opens, 0 closes)
Line 401: depth 5 (0 opens, 1 closes)
Line 402: depth 4 (0 opens, 1 closes)
Line 404: depth 5 (1 opens, 0 closes)
Line 405: depth 6 (1 opens, 0 closes)
Line 427: depth 5 (0 opens, 1 closes)
Line 428: depth 6 (1 opens, 0 closes)
Line 430: depth 7 (1 opens, 0 closes)
Line 446: depth 6 (0 opens, 1 closes)
Line 447: depth 7 (1 opens, 0 closes)
Line 454: depth 6 (0 opens, 1 closes)
Line 455: depth 5 (0 opens, 1 closes)
Line 456: depth 4 (0 opens, 1 closes)
Line 458: depth 5 (1 opens, 0 closes)
Line 466: depth 4 (0 opens, 1 closes)
Line 468: depth 5 (1 opens, 0 closes)
Line 470: depth 6 (1 opens, 0 closes)
Line 472: depth 7 (1 opens, 0 closes)
Line 485: depth 6 (0 opens, 1 closes)
Line 487: depth 5 (0 opens, 1 closes)
Line 488: depth 4 (0 opens, 1 closes)
Line 489: depth 3 (0 opens, 1 closes)
Line 493: depth 4 (1 opens, 0 closes)
Line 494: depth 5 (1 opens, 0 closes)
Line 495: depth 6 (1 opens, 0 closes)
Line 498: depth 5 (0 opens, 1 closes)
Line 499: depth 6 (1 opens, 0 closes)
Line 515: depth 5 (0 opens, 1 closes)
Line 516: depth 4 (0 opens, 1 closes)
Line 518: depth 5 (1 opens, 0 closes)
Line 520: depth 6 (1 opens, 0 closes)
Line 522: depth 7 (1 opens, 0 closes)
Line 533: depth 6 (0 opens, 1 closes)
Line 534: depth 7 (1 opens, 0 closes)
Line 536: depth 6 (0 opens, 1 closes)
Line 537: depth 5 (0 opens, 1 closes)
Line 540: depth 6 (1 opens, 0 closes)
Line 543: depth 5 (0 opens, 1 closes)
Line 545: depth 4 (0 opens, 1 closes)
Line 547: depth 5 (1 opens, 0 closes)
Line 548: depth 6 (1 opens, 0 closes)
Line 549: depth 7 (1 opens, 0 closes)
Line 550: depth 8 (1 opens, 0 closes)
Line 552: depth 7 (0 opens, 1 closes)
Line 553: depth 8 (1 opens, 0 closes)
Line 556: depth 7 (0 opens, 1 closes)
Line 557: depth 6 (0 opens, 1 closes)
Line 565: depth 5 (0 opens, 1 closes)
Line 566: depth 4 (0 opens, 1 closes)
Line 567: depth 3 (0 opens, 1 closes)
Line 571: depth 4 (1 opens, 0 closes)
Line 573: depth 5 (1 opens, 0 closes)
Line 574: depth 6 (1 opens, 0 closes)
Line 578: depth 5 (0 opens, 1 closes)
Line 580: depth 6 (1 opens, 0 closes)
Line 581: depth 7 (1 opens, 0 closes)
Line 595: depth 8 (1 opens, 0 closes)
Line 596: depth 9 (1 opens, 0 closes)
Line 604: depth 8 (0 opens, 1 closes)
Line 605: depth 9 (1 opens, 0 closes)
Line 614: depth 8 (0 opens, 1 closes)
Line 615: depth 7 (0 opens, 1 closes)
Line 616: depth 6 (0 opens, 1 closes)
Line 618: depth 7 (1 opens, 0 closes)
Line 619: depth 8 (1 opens, 0 closes)
Line 631: depth 7 (0 opens, 1 closes)
Line 632: depth 8 (1 opens, 0 closes)
Line 634: depth 9 (1 opens, 0 closes)
Line 635: depth 10 (1 opens, 0 closes)
Line 658: depth 9 (0 opens, 1 closes)
Line 669: depth 8 (0 opens, 1 closes)
Line 671: depth 7 (0 opens, 1 closes)
Line 672: depth 6 (0 opens, 1 closes)
Line 673: depth 5 (0 opens, 1 closes)
Line 675: depth 6 (1 opens, 0 closes)
Line 676: depth 7 (1 opens, 0 closes)
Line 679: depth 6 (0 opens, 1 closes)
Line 680: depth 7 (1 opens, 0 closes)
Line 683: depth 6 (0 opens, 1 closes)
Line 684: depth 5 (0 opens, 1 closes)
Line 685: depth 4 (0 opens, 1 closes)
Line 689: depth 5 (1 opens, 0 closes)
Line 690: depth 6 (1 opens, 0 closes)
Line 701: depth 5 (0 opens, 1 closes)
Line 702: depth 6 (1 opens, 0 closes)
Line 704: depth 7 (1 opens, 0 closes)
Line 705: depth 8 (1 opens, 0 closes)
Line 707: depth 9 (1 opens, 0 closes)
Line 729: depth 8 (0 opens, 1 closes)
Line 730: depth 7 (0 opens, 1 closes)
Line 731: depth 8 (1 opens, 0 closes)
Line 733: depth 9 (1 opens, 0 closes)
Line 734: depth 10 (1 opens, 0 closes)
Line 735: depth 11 (1 opens, 0 closes)
Line 747: depth 10 (0 opens, 1 closes)
Line 753: depth 9 (0 opens, 1 closes)
Line 789: depth 8 (0 opens, 1 closes)
Line 791: depth 7 (0 opens, 1 closes)
Line 792: depth 6 (0 opens, 1 closes)
Line 794: depth 5 (0 opens, 1 closes)
Line 795: depth 4 (0 opens, 1 closes)
Line 796: depth 3 (0 opens, 1 closes)
Line 799: depth 4 (1 opens, 0 closes)
Line 805: depth 5 (1 opens, 0 closes)
Line 817: depth 6 (1 opens, 0 closes)
Line 818: depth 7 (1 opens, 0 closes)
Line 820: depth 6 (0 opens, 1 closes)
Line 821: depth 7 (1 opens, 0 closes)
Line 826: depth 6 (0 opens, 1 closes)
Line 827: depth 5 (0 opens, 1 closes)
Line 828: depth 4 (0 opens, 1 closes)
Line 829: depth 3 (0 opens, 1 closes)
Line 832: depth 4 (1 opens, 0 closes)
Line 836: depth 5 (1 opens, 0 closes)
Line 851: depth 4 (0 opens, 1 closes)
Line 854: depth 5 (1 opens, 0 closes)
Line 855: depth 6 (1 opens, 0 closes)
Line 863: depth 5 (0 opens, 1 closes)
Line 864: depth 6 (1 opens, 0 closes)
Line 872: depth 5 (0 opens, 1 closes)
Line 873: depth 4 (0 opens, 1 closes)
Line 875: depth 3 (0 opens, 1 closes)
Line 879: depth 4 (1 opens, 0 closes)
